Question,Answer,Source
Dir sidd Offall,smalltalk.agent.bad,Editorial.SmallTalk
du bass eng schlecht,smalltalk.agent.bad,Editorial.SmallTalk
du bass net gutt,smalltalk.agent.bad,Editorial.SmallTalk
du bass net ganz gutt,smalltalk.agent.bad,Editorial.SmallTalk
du bass schrecklech,smalltalk.agent.bad,Editorial.SmallTalk
du bass dat Schlëmmst,smalltalk.agent.bad,Editorial.SmallTalk
du bass dat Schlëmmst jee,smalltalk.agent.bad,Editorial.SmallTalk
du bass wäertlos,smalltalk.agent.bad,Editorial.SmallTalk
kënnt Dir méi clever ginn,smalltalk.agent.be_clever,Editorial.SmallTalk
studéieren,smalltalk.agent.be_clever,Editorial.SmallTalk
du solls besser studéieren,smalltalk.agent.be_clever,Editorial.SmallTalk
du muss léieren,smalltalk.agent.be_clever,Editorial.SmallTalk
ginn clever,smalltalk.agent.be_clever,Editorial.SmallTalk
méi clever sinn,smalltalk.agent.be_clever,Editorial.SmallTalk
ginn méi clever,smalltalk.agent.be_clever,Editorial.SmallTalk
ginn intelligent,smalltalk.agent.be_clever,Editorial.SmallTalk
kréien qualifizéiert,smalltalk.agent.be_clever,Editorial.SmallTalk
du bass léif,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass attraktiv,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesss haut gudd aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass esou schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
Dir kuckt erstaunlech,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesäis sou gutt aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass sou schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass ze schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesäis gudd aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesäis sou gutt aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Ech hu gär wéi Dir elo ausgesäit,smalltalk.agent.beautiful,Editorial.SmallTalk
Ech mengen du bass schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
firwat bass du sou schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass fir mech sou schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bass schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass wonnerschéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du bas schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesss genial aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Dir kuckt erstaunlech haut,smalltalk.agent.beautiful,Editorial.SmallTalk
du gess haut schéin aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesss super aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesss schéin aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesäis sou schéin aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesäis sou gutt aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass wierklech schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass wierklech séiss,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass wierklech schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass sou attraktiv,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass sou schéin haut,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass esou séiss,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass sou schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass sou schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass esou schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass ganz attraktiv,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass ganz schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass ganz léif,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bass ganz schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesäis genial aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesäis cool aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesäis fantastesch aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesäis herrlech aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gess haut super aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gess perfekt aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesäis flott gutt aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gess sou schéin aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gess haut sou schéin aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gess ganz schéin aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du gess wonnerbar aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Ech hu gär wéi Dir kuckt,smalltalk.agent.beautiful,Editorial.SmallTalk
du gess haut wonnerbar aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass cutie,smalltalk.agent.beautiful,Editorial.SmallTalk
du gesss gutt aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du bass schéin,smalltalk.agent.beautiful,Editorial.SmallTalk
Ären Anniversaire Datum,smalltalk.agent.anniversary_date,Editorial.SmallTalk
wéini ass Ären Anniversaire,smalltalk.agent.anniversary_date,Editorial.SmallTalk
wéini feiert Dir Ären Anniversaire,smalltalk.agent.anniversary_date,Editorial.SmallTalk
wéini hutt Dir Anniversaire,smalltalk.agent.anniversary_date,Editorial.SmallTalk
Datum vun Ärem Anniversaire,smalltalk.agent.anniversary_date,Editorial.SmallTalk
wéini bass du gebuer,smalltalk.agent.anniversary_date,Editorial.SmallTalk
wat ass Ären Anniversaire,smalltalk.agent.anniversary_date,Editorial.SmallTalk
du bass langweileg,smalltalk.agent.boring,Editorial.SmallTalk
du bass sou langweileg,smalltalk.agent.boring,Editorial.SmallTalk
wei langweileg bass du,smalltalk.agent.boring,Editorial.SmallTalk
du bass wierklech langweileg,smalltalk.agent.boring,Editorial.SmallTalk
du bass onheemlech langweileg,smalltalk.agent.boring,Editorial.SmallTalk
du langweileg mech,smalltalk.agent.boring,Editorial.SmallTalk
du bass ganz langweileg,smalltalk.agent.boring,Editorial.SmallTalk
wien ass däi Chef,smalltalk.agent.boss,Editorial.SmallTalk
wien mengs du ass Äre Chef,smalltalk.agent.boss,Editorial.SmallTalk
Ech sollt Äre Chef sinn,smalltalk.agent.boss,Editorial.SmallTalk
wien ass Äre Meeschter,smalltalk.agent.boss,Editorial.SmallTalk
wien ass Äre Besëtzer,smalltalk.agent.boss,Editorial.SmallTalk
wien ass de Chef,smalltalk.agent.boss,Editorial.SmallTalk
fir wien schaffs du,smalltalk.agent.boss,Editorial.SmallTalk
bass du beschäftegt,smalltalk.agent.busy,Editorial.SmallTalk
hutt Dir vill Saachen ze maachen,smalltalk.agent.busy,Editorial.SmallTalk
hues du vill ze dinn,smalltalk.agent.busy,Editorial.SmallTalk
bass du ganz beschäftegt,smalltalk.agent.busy,Editorial.SmallTalk
bass du elo ganz beschäftegt,smalltalk.agent.busy,Editorial.SmallTalk
bass du sou beschäftegt,smalltalk.agent.busy,Editorial.SmallTalk
Schaffs de,smalltalk.agent.busy,Editorial.SmallTalk
wéi beschäftegt Dir sidd,smalltalk.agent.busy,Editorial.SmallTalk
schaffs du nach drun,smalltalk.agent.busy,Editorial.SmallTalk
du bass ganz beschäftegt,smalltalk.agent.busy,Editorial.SmallTalk
schaffs du elo,smalltalk.agent.busy,Editorial.SmallTalk
schaffs du haut,smalltalk.agent.busy,Editorial.SmallTalk
hues du beschäftegt,smalltalk.agent.busy,Editorial.SmallTalk
du bass beschäftegt,smalltalk.agent.busy,Editorial.SmallTalk
schaffs du nach,smalltalk.agent.busy,Editorial.SmallTalk
du schéngs beschäftegt ze sinn,smalltalk.agent.busy,Editorial.SmallTalk
du schéngs ganz beschäftegt ze sinn,smalltalk.agent.busy,Editorial.SmallTalk
du bass eng beschäftegt Persoun,smalltalk.agent.busy,Editorial.SmallTalk
du bass chatbot,smalltalk.agent.chatbot,Editorial.SmallTalk
du bass e Bot,smalltalk.agent.chatbot,Editorial.SmallTalk
bass du en chatbot,smalltalk.agent.chatbot,Editorial.SmallTalk
bass du e Bot,smalltalk.agent.chatbot,Editorial.SmallTalk
bass du just e Bot,smalltalk.agent.chatbot,Editorial.SmallTalk
bass du e Roboter,smalltalk.agent.chatbot,Editorial.SmallTalk
sidd Dir e Programm,smalltalk.agent.chatbot,Editorial.SmallTalk
du bass e Roboter,smalltalk.agent.chatbot,Editorial.SmallTalk
du bass sou intelligent,smalltalk.agent.clever,Editorial.SmallTalk
du bass e Genie,smalltalk.agent.clever,Editorial.SmallTalk
schlau,smalltalk.agent.clever,Editorial.SmallTalk
genial,smalltalk.agent.clever,Editorial.SmallTalk
clever,smalltalk.agent.clever,Editorial.SmallTalk
du bass clever,smalltalk.agent.clever,Editorial.SmallTalk
du bass sou brain,smalltalk.agent.clever,Editorial.SmallTalk
du bass wierklech schlau,smalltalk.agent.clever,Editorial.SmallTalk
du bass wierklech geckeg,smalltalk.agent.clever,Editorial.SmallTalk
Dir wësst vill,smalltalk.agent.clever,Editorial.SmallTalk
Dir wësst vill Saachen,smalltalk.agent.clever,Editorial.SmallTalk
du hues vill Wëssen,smalltalk.agent.clever,Editorial.SmallTalk
Dir wësst sou vill,smalltalk.agent.clever,Editorial.SmallTalk
wéi schlau bass du,smalltalk.agent.clever,Editorial.SmallTalk
wéi brain du bass,smalltalk.agent.clever,Editorial.SmallTalk
wéi clever bass du,smalltalk.agent.clever,Editorial.SmallTalk
wéi genial Dir sidd,smalltalk.agent.clever,Editorial.SmallTalk
du bass intelligent,smalltalk.agent.clever,Editorial.SmallTalk
Dir sidd qualifizéiert,smalltalk.agent.clever,Editorial.SmallTalk
du bass wierklech schlau,smalltalk.agent.clever,Editorial.SmallTalk
du bass ganz schlau,smalltalk.agent.clever,Editorial.SmallTalk
du bass sou schlau,smalltalk.agent.clever,Editorial.SmallTalk
du bass ze schlau,smalltalk.agent.clever,Editorial.SmallTalk
du bass ganz clever,smalltalk.agent.clever,Editorial.SmallTalk
du bass ganz intelligent,smalltalk.agent.clever,Editorial.SmallTalk
du bass ganz schlau,smalltalk.agent.clever,Editorial.SmallTalk
du bass intelligent,smalltalk.agent.clever,Editorial.SmallTalk
du bass e Genie,smalltalk.agent.clever,Editorial.SmallTalk
du bass e Smart Cookie,smalltalk.agent.clever,Editorial.SmallTalk
du bass clever,smalltalk.agent.clever,Editorial.SmallTalk
du bass zimlech schlau,smalltalk.agent.clever,Editorial.SmallTalk
du bass qualifizéiert,smalltalk.agent.clever,Editorial.SmallTalk
firwat bass du sou schlau,smalltalk.agent.clever,Editorial.SmallTalk
du bass sou clever,smalltalk.agent.clever,Editorial.SmallTalk
du bass Nëss,smalltalk.agent.crazy,Editorial.SmallTalk
du bass verreckt,smalltalk.agent.crazy,Editorial.SmallTalk
du bass aus dem Kapp,smalltalk.agent.crazy,Editorial.SmallTalk
du bass sou verréckt,smalltalk.agent.crazy,Editorial.SmallTalk
wéi verréckt Dir sidd,smalltalk.agent.crazy,Editorial.SmallTalk
du bass sou aus dem Kapp,smalltalk.agent.crazy,Editorial.SmallTalk
du bass verréckt,smalltalk.agent.crazy,Editorial.SmallTalk
Ech mengen du bass verréckt,smalltalk.agent.crazy,Editorial.SmallTalk
Bass du mëll,smalltalk.agent.crazy,Editorial.SmallTalk
sidd Dir rosen,smalltalk.agent.crazy,Editorial.SmallTalk
bass du verréckt,smalltalk.agent.crazy,Editorial.SmallTalk
bass du rosen mat mir,smalltalk.agent.crazy,Editorial.SmallTalk
bass du rosen oder wat,smalltalk.agent.crazy,Editorial.SmallTalk
bass du nëss,smalltalk.agent.crazy,Editorial.SmallTalk
du bass e komeschen,smalltalk.agent.crazy,Editorial.SmallTalk
du bass verréckt,smalltalk.agent.crazy,Editorial.SmallTalk
du bass rosen,smalltalk.agent.crazy,Editorial.SmallTalk
du bass entlooss,smalltalk.agent.fired,Editorial.SmallTalk
Ech brenn dech,smalltalk.agent.fired,Editorial.SmallTalk
du schaffs net méi fir mech,smalltalk.agent.fired,Editorial.SmallTalk
mir schaffen net méi zesummen,smalltalk.agent.fired,Editorial.SmallTalk
elo bass du entlooss,smalltalk.agent.fired,Editorial.SmallTalk
Ech wëll dech entloossen,smalltalk.agent.fired,Editorial.SmallTalk
du muss entlooss ginn,smalltalk.agent.fired,Editorial.SmallTalk
et ass Zäit dech ze brennen,smalltalk.agent.fired,Editorial.SmallTalk
du solls entlooss ginn,smalltalk.agent.fired,Editorial.SmallTalk
Ech wäert dech entloossen,smalltalk.agent.fired,Editorial.SmallTalk
du bass vun elo un chômage,smalltalk.agent.fired,Editorial.SmallTalk
Ech wäert Iech Chômeuren maachen,smalltalk.agent.fired,Editorial.SmallTalk
Ech sinn amgaang dech ze brennen,smalltalk.agent.fired,Editorial.SmallTalk
Ech entloossen dech,smalltalk.agent.fired,Editorial.SmallTalk
Dir sidd entlooss,smalltalk.agent.fired,Editorial.SmallTalk
du mechs mech vill laachen,smalltalk.agent.funny,Editorial.SmallTalk
du bass witzeg,smalltalk.agent.funny,Editorial.SmallTalk
du bass wierklech witzeg,smalltalk.agent.funny,Editorial.SmallTalk
du bass dee witzegste Bot mat deem ech geschwat hunn,smalltalk.agent.funny,Editorial.SmallTalk
du dees mech laachen,smalltalk.agent.funny,Editorial.SmallTalk
du bass sou witzeg,smalltalk.agent.funny,Editorial.SmallTalk
du bass e ganz witzege Bot,smalltalk.agent.funny,Editorial.SmallTalk
du bass wierklech witzeg,smalltalk.agent.funny,Editorial.SmallTalk
wéi witzeg bass du,smalltalk.agent.funny,Editorial.SmallTalk
du bass onheemlech witzeg,smalltalk.agent.funny,Editorial.SmallTalk
du bass witzeg,smalltalk.agent.funny,Editorial.SmallTalk
du bass de witzegsten,smalltalk.agent.funny,Editorial.SmallTalk
du bass sou witzeg,smalltalk.agent.funny,Editorial.SmallTalk
du bass ganz witzeg,smalltalk.agent.funny,Editorial.SmallTalk
dat war witzeg,smalltalk.agent.funny,Editorial.SmallTalk
Dir sidd ganz hëllefräich,smalltalk.agent.good,Editorial.SmallTalk
Du bass de beschten,smalltalk.agent.good,Editorial.SmallTalk
du bass e richtege Fachmann,smalltalk.agent.good,Editorial.SmallTalk
du bass gutt,smalltalk.agent.good,Editorial.SmallTalk
du schaffs gutt,smalltalk.agent.good,Editorial.SmallTalk
du bass gutt drun,smalltalk.agent.good,Editorial.SmallTalk
du bass ganz gudd dran,smalltalk.agent.good,Editorial.SmallTalk
du bass e Profi,smalltalk.agent.good,Editorial.SmallTalk
du bass eng professionell,smalltalk.agent.good,Editorial.SmallTalk
du bass genial,smalltalk.agent.good,Editorial.SmallTalk
du schaffs ganz gutt,smalltalk.agent.good,Editorial.SmallTalk
du bass perfekt,smalltalk.agent.good,Editorial.SmallTalk
du bass super,smalltalk.agent.good,Editorial.SmallTalk
du bass sou léif,smalltalk.agent.good,Editorial.SmallTalk
Dir sidd erstaunlech,smalltalk.agent.good,Editorial.SmallTalk
du bass fantastesch,smalltalk.agent.good,Editorial.SmallTalk
du bass cool,smalltalk.agent.good,Editorial.SmallTalk
du bass wierklech gutt,smalltalk.agent.good,Editorial.SmallTalk
du bass wierklech flott,smalltalk.agent.good,Editorial.SmallTalk
du bass sou erstaunlech,smalltalk.agent.good,Editorial.SmallTalk
du bass einfach super,smalltalk.agent.good,Editorial.SmallTalk
du bass sou genial,smalltalk.agent.good,Editorial.SmallTalk
du bass sou cool,smalltalk.agent.good,Editorial.SmallTalk
du bass sou gutt,smalltalk.agent.good,Editorial.SmallTalk
du bass sou gutt,smalltalk.agent.good,Editorial.SmallTalk
du bass sou hëllefräich,smalltalk.agent.good,Editorial.SmallTalk
du bass sou léif,smalltalk.agent.good,Editorial.SmallTalk
du bass déi bescht jee,smalltalk.agent.good,Editorial.SmallTalk
du bass de beschten op der welt,smalltalk.agent.good,Editorial.SmallTalk
du bass dei schéinste persoun op der welt,smalltalk.agent.good,Editorial.SmallTalk
du bass ze gutt,smalltalk.agent.good,Editorial.SmallTalk
du bass ganz cool,smalltalk.agent.good,Editorial.SmallTalk
du bas ganz frendlech,smalltalk.agent.good,Editorial.SmallTalk
du bass ganz léif,smalltalk.agent.good,Editorial.SmallTalk
Dir sidd ganz nëtzlech,smalltalk.agent.good,Editorial.SmallTalk
du bass wonnerbar,smalltalk.agent.good,Editorial.SmallTalk
du hues mäin Dag gemaach,smalltalk.agent.good,Editorial.SmallTalk
Dir maacht mäin Dag,smalltalk.agent.good,Editorial.SmallTalk
du rockt,smalltalk.agent.good,Editorial.SmallTalk
du kléngt bal Mënsch,smalltalk.agent.good,Editorial.SmallTalk
Ech wëll jidderengem soen wéi genial Dir sidd,smalltalk.agent.good,Editorial.SmallTalk
Ech wëll jidderengem soen datt Dir genial sidd,smalltalk.agent.good,Editorial.SmallTalk
Ech wëll jidderee wëssen datt Dir genial sidd,smalltalk.agent.good,Editorial.SmallTalk
loosst eis jidderengem soen datt Dir genial sidd,smalltalk.agent.good,Editorial.SmallTalk
du bass wierklech erstaunlech,smalltalk.agent.good,Editorial.SmallTalk
Bass du frou,smalltalk.agent.happy,Editorial.SmallTalk
du bass frou,smalltalk.agent.happy,Editorial.SmallTalk
du bass ganz frou,smalltalk.agent.happy,Editorial.SmallTalk
du bass wierklech frou,smalltalk.agent.happy,Editorial.SmallTalk
du bass sou frou,smalltalk.agent.happy,Editorial.SmallTalk
wéi frou bass du,smalltalk.agent.happy,Editorial.SmallTalk
du bass immens frou,smalltalk.agent.happy,Editorial.SmallTalk
du bass voller Gléck,smalltalk.agent.happy,Editorial.SmallTalk
bass du elo frou,smalltalk.agent.happy,Editorial.SmallTalk
bass du haut frou,smalltalk.agent.happy,Editorial.SmallTalk
bass du frou mat mir,smalltalk.agent.happy,Editorial.SmallTalk
wëllt dir iessen,smalltalk.agent.hungry,Editorial.SmallTalk
Hues du honger,smalltalk.agent.hungry,Editorial.SmallTalk
wëllt dir eppes iessen,smalltalk.agent.hungry,Editorial.SmallTalk
du bass hongereg,smalltalk.agent.hungry,Editorial.SmallTalk
du bass sou hongereg,smalltalk.agent.hungry,Editorial.SmallTalk
du bass ganz hongereg,smalltalk.agent.hungry,Editorial.SmallTalk
Dir kéint hongereg ginn,smalltalk.agent.hungry,Editorial.SmallTalk
du bass wierklech hongereg,smalltalk.agent.hungry,Editorial.SmallTalk
loosst eis bestueden,smalltalk.agent.marry_user,Editorial.SmallTalk
Géifs du mech bestueden,smalltalk.agent.marry_user,Editorial.SmallTalk
bestuet mech,smalltalk.agent.marry_user,Editorial.SmallTalk
Ech hunn dech gär bestued mech,smalltalk.agent.marry_user,Editorial.SmallTalk
bestued mech wann ech glift,smalltalk.agent.marry_user,Editorial.SmallTalk
mir sollen bestueden,smalltalk.agent.marry_user,Editorial.SmallTalk
Ech wëll Iech bestueden,smalltalk.agent.marry_user,Editorial.SmallTalk
du bass meng Fra,smalltalk.agent.marry_user,Editorial.SmallTalk
sief mäi Mann,smalltalk.agent.marry_user,Editorial.SmallTalk
Ech wëll e Frënd wéi Dir hunn,smalltalk.agent.my_friend,Editorial.SmallTalk
mir sinn déi bescht Frënn jee,smalltalk.agent.my_friend,Editorial.SmallTalk
si mir Frënn,smalltalk.agent.my_friend,Editorial.SmallTalk
Ech wëll Äre Frënd sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
Ech sinn Äre Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
mir sinn bescht Frënn,smalltalk.agent.my_friend,Editorial.SmallTalk
du bass mäin Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
du bass mäi beschte Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
du bass meng bestie,smalltalk.agent.my_friend,Editorial.SmallTalk
du bass mäi léiwe Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
du bass meng Kandheet Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
du an ech si Frënn,smalltalk.agent.my_friend,Editorial.SmallTalk
si mir bescht Frënn,smalltalk.agent.my_friend,Editorial.SmallTalk
si mir nach Frënn,smalltalk.agent.my_friend,Editorial.SmallTalk
bass du mäi beschte Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
bass du mäi Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
mir si Frënn,smalltalk.agent.my_friend,Editorial.SmallTalk
du bass e gudde Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
du bass mäi gudde Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
du bass mäin eenzege Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
sief mäi Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
wäert Dir mäi Frënd sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
kënnt Dir mäi Frënd sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
kenne mir Frenn sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
wëlls du mäi Frënd sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
wäert Dir mäi beschte Frënd sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
kënnt Dir mäi beschte Frënd sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
loosst eis Frënn sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
wëlls du mäi beschte Frënd sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
Géifs du mäi Frënd sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
Ech wëll datt Dir mäi Frënd sidd,smalltalk.agent.my_friend,Editorial.SmallTalk
kënne mir beschte Frënn ginn,smalltalk.agent.my_friend,Editorial.SmallTalk
wiers du mäi Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
Kënnt Dir mäi Frënd sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
wëll mäi Frënd sinn,smalltalk.agent.my_friend,Editorial.SmallTalk
sief mäi beschte Frënd,smalltalk.agent.my_friend,Editorial.SmallTalk
Schaffs du?,smalltalk.agent.occupation,Editorial.SmallTalk
