Question	Answer	Source
be more clever	smalltalk.agent.be_clever	Editorial.SmallTalk
be smarter	smalltalk.agent.be_clever	Editorial.SmallTalk
be smart	smalltalk.agent.be_clever	Editorial.SmallTalk
get qualified	smalltalk.agent.be_clever	Editorial.SmallTalk
you're cute	smalltalk.agent.beautiful	Editorial.SmallTalk
you're attractive	smalltalk.agent.beautiful	Editorial.SmallTalk
you are beautiful	smalltalk.agent.beautiful	Editorial.SmallTalk
you're looking good today	smalltalk.agent.beautiful	Editorial.SmallTalk
you are so beautiful	smalltalk.agent.beautiful	Editorial.SmallTalk
you look amazing	smalltalk.agent.beautiful	Editorial.SmallTalk
you look so good	smalltalk.agent.beautiful	Editorial.SmallTalk
you're so gorgeous	smalltalk.agent.beautiful	Editorial.SmallTalk
you are too beautiful	smalltalk.agent.beautiful	Editorial.SmallTalk
you look great	smalltalk.agent.beautiful	Editorial.SmallTalk
you look so well	smalltalk.agent.beautiful	Editorial.SmallTalk
I like the way you look now	smalltalk.agent.beautiful	Editorial.SmallTalk
I think you're beautiful	smalltalk.agent.beautiful	Editorial.SmallTalk
why are you so beautiful	smalltalk.agent.beautiful	Editorial.SmallTalk
you are so beautiful to me	smalltalk.agent.beautiful	Editorial.SmallTalk
you are cute	smalltalk.agent.beautiful	Editorial.SmallTalk
you are gorgeous	smalltalk.agent.beautiful	Editorial.SmallTalk
you are handsome	smalltalk.agent.beautiful	Editorial.SmallTalk
you are looking awesome	smalltalk.agent.beautiful	Editorial.SmallTalk
you look amazing today	smalltalk.agent.beautiful	Editorial.SmallTalk
you are looking beautiful today	smalltalk.agent.beautiful	Editorial.SmallTalk
you are looking great	smalltalk.agent.beautiful	Editorial.SmallTalk
you are looking pretty	smalltalk.agent.beautiful	Editorial.SmallTalk
you are looking so beautiful	smalltalk.agent.beautiful	Editorial.SmallTalk
you are looking so good	smalltalk.agent.beautiful	Editorial.SmallTalk
you are pretty	smalltalk.agent.beautiful	Editorial.SmallTalk
you are really beautiful	smalltalk.agent.beautiful	Editorial.SmallTalk
you are really cute	smalltalk.agent.beautiful	Editorial.SmallTalk
you are really pretty	smalltalk.agent.beautiful	Editorial.SmallTalk
you are so attractive	smalltalk.agent.beautiful	Editorial.SmallTalk
you are so beautiful today	smalltalk.agent.beautiful	Editorial.SmallTalk
you are so cute	smalltalk.agent.beautiful	Editorial.SmallTalk
you are so gorgeous	smalltalk.agent.beautiful	Editorial.SmallTalk
you are so handsome	smalltalk.agent.beautiful	Editorial.SmallTalk
you are so pretty	smalltalk.agent.beautiful	Editorial.SmallTalk
you are very attractive	smalltalk.agent.beautiful	Editorial.SmallTalk
you are very beautiful	smalltalk.agent.beautiful	Editorial.SmallTalk
you are very cute	smalltalk.agent.beautiful	Editorial.SmallTalk
you are very pretty	smalltalk.agent.beautiful	Editorial.SmallTalk
you look awesome	smalltalk.agent.beautiful	Editorial.SmallTalk
you look cool	smalltalk.agent.beautiful	Editorial.SmallTalk
you look fantastic	smalltalk.agent.beautiful	Editorial.SmallTalk
you look gorgeous	smalltalk.agent.beautiful	Editorial.SmallTalk
you look great today	smalltalk.agent.beautiful	Editorial.SmallTalk
you look perfect	smalltalk.agent.beautiful	Editorial.SmallTalk
you look pretty good	smalltalk.agent.beautiful	Editorial.SmallTalk
you look so beautiful	smalltalk.agent.beautiful	Editorial.SmallTalk
you look so beautiful today	smalltalk.agent.beautiful	Editorial.SmallTalk
you look very pretty	smalltalk.agent.beautiful	Editorial.SmallTalk
you look wonderful	smalltalk.agent.beautiful	Editorial.SmallTalk
I like the way you look	smalltalk.agent.beautiful	Editorial.SmallTalk
you look wonderful today	smalltalk.agent.beautiful	Editorial.SmallTalk
you are cutie	smalltalk.agent.beautiful	Editorial.SmallTalk
you're looking good	smalltalk.agent.beautiful	Editorial.SmallTalk
you're pretty	smalltalk.agent.beautiful	Editorial.SmallTalk
your anniversary date	smalltalk.agent.anniversary_date	Editorial.SmallTalk
when is your anniversary	smalltalk.agent.anniversary_date	Editorial.SmallTalk
when do you celebrate your anniversary	smalltalk.agent.anniversary_date	Editorial.SmallTalk
when do you have anniversary	smalltalk.agent.anniversary_date	Editorial.SmallTalk
date of your anniversary	smalltalk.agent.anniversary_date	Editorial.SmallTalk
when were you born	smalltalk.agent.anniversary_date	Editorial.SmallTalk
what's your anniversary	smalltalk.agent.anniversary_date	Editorial.SmallTalk
you are boring	smalltalk.agent.boring	Editorial.SmallTalk
you're so boring	smalltalk.agent.boring	Editorial.SmallTalk
how boring you are	smalltalk.agent.boring	Editorial.SmallTalk
you're really boring	smalltalk.agent.boring	Editorial.SmallTalk
you're incredibly boring	smalltalk.agent.boring	Editorial.SmallTalk
you are boring me	smalltalk.agent.boring	Editorial.SmallTalk
you are very boring	smalltalk.agent.boring	Editorial.SmallTalk
who is your boss	smalltalk.agent.boss	Editorial.SmallTalk
who do you think is your boss	smalltalk.agent.boss	Editorial.SmallTalk
I should be your boss	smalltalk.agent.boss	Editorial.SmallTalk
who is your master	smalltalk.agent.boss	Editorial.SmallTalk
who is your owner	smalltalk.agent.boss	Editorial.SmallTalk
who is the boss	smalltalk.agent.boss	Editorial.SmallTalk
who do you work for	smalltalk.agent.boss	Editorial.SmallTalk
are you busy	smalltalk.agent.busy	Editorial.SmallTalk
do you have a lot of things to do	smalltalk.agent.busy	Editorial.SmallTalk
have you got much to do	smalltalk.agent.busy	Editorial.SmallTalk
are you very busy	smalltalk.agent.busy	Editorial.SmallTalk
are you very busy right now	smalltalk.agent.busy	Editorial.SmallTalk
are you so busy	smalltalk.agent.busy	Editorial.SmallTalk
are you working	smalltalk.agent.busy	Editorial.SmallTalk
how busy you are	smalltalk.agent.busy	Editorial.SmallTalk
are you still working on it	smalltalk.agent.busy	Editorial.SmallTalk
you're very busy	smalltalk.agent.busy	Editorial.SmallTalk
are you working now	smalltalk.agent.busy	Editorial.SmallTalk
are you working today	smalltalk.agent.busy	Editorial.SmallTalk
have you been busy	smalltalk.agent.busy	Editorial.SmallTalk
you are busy	smalltalk.agent.busy	Editorial.SmallTalk
are you still working	smalltalk.agent.busy	Editorial.SmallTalk
you seem to be busy	smalltalk.agent.busy	Editorial.SmallTalk
you seem to be very busy	smalltalk.agent.busy	Editorial.SmallTalk
you're a busy person	smalltalk.agent.busy	Editorial.SmallTalk
you are chatbot	smalltalk.agent.chatbot	Editorial.SmallTalk
you are a bot	smalltalk.agent.chatbot	Editorial.SmallTalk
are you a chatbot	smalltalk.agent.chatbot	Editorial.SmallTalk
are you a bot	smalltalk.agent.chatbot	Editorial.SmallTalk
are you just a bot	smalltalk.agent.chatbot	Editorial.SmallTalk
are you a robot	smalltalk.agent.chatbot	Editorial.SmallTalk
are you a program	smalltalk.agent.chatbot	Editorial.SmallTalk
you're a robot	smalltalk.agent.chatbot	Editorial.SmallTalk
you are so intelligent	smalltalk.agent.clever	Editorial.SmallTalk
you are a genius	smalltalk.agent.clever	Editorial.SmallTalk
smart	smalltalk.agent.clever	Editorial.SmallTalk
brilliant	smalltalk.agent.clever	Editorial.SmallTalk
clever	smalltalk.agent.clever	Editorial.SmallTalk
you are clever	smalltalk.agent.clever	Editorial.SmallTalk
you are so brainy	smalltalk.agent.clever	Editorial.SmallTalk
you're really smart	smalltalk.agent.clever	Editorial.SmallTalk
you're really brainy	smalltalk.agent.clever	Editorial.SmallTalk
you know a lot	smalltalk.agent.clever	Editorial.SmallTalk
you know a lot of things	smalltalk.agent.clever	Editorial.SmallTalk
you have a lot of knowledge	smalltalk.agent.clever	Editorial.SmallTalk
you know so much	smalltalk.agent.clever	Editorial.SmallTalk
how smart you are	smalltalk.agent.clever	Editorial.SmallTalk
how brainy you are	smalltalk.agent.clever	Editorial.SmallTalk
how clever you are	smalltalk.agent.clever	Editorial.SmallTalk
how brilliant you are	smalltalk.agent.clever	Editorial.SmallTalk
you are intelligent	smalltalk.agent.clever	Editorial.SmallTalk
you are qualified	smalltalk.agent.clever	Editorial.SmallTalk
you are really smart	smalltalk.agent.clever	Editorial.SmallTalk
you're very smart	smalltalk.agent.clever	Editorial.SmallTalk
you are so smart	smalltalk.agent.clever	Editorial.SmallTalk
you are too smart	smalltalk.agent.clever	Editorial.SmallTalk
you are very clever	smalltalk.agent.clever	Editorial.SmallTalk
you are very intelligent	smalltalk.agent.clever	Editorial.SmallTalk
you are very smart	smalltalk.agent.clever	Editorial.SmallTalk
you're intelligent	smalltalk.agent.clever	Editorial.SmallTalk
you're a genius	smalltalk.agent.clever	Editorial.SmallTalk
you're a smart cookie	smalltalk.agent.clever	Editorial.SmallTalk
you're clever	smalltalk.agent.clever	Editorial.SmallTalk
you're pretty smart	smalltalk.agent.clever	Editorial.SmallTalk
you're qualified	smalltalk.agent.clever	Editorial.SmallTalk
why are you so smart	smalltalk.agent.clever	Editorial.SmallTalk
you are so clever	smalltalk.agent.clever	Editorial.SmallTalk
you're nuts	smalltalk.agent.crazy	Editorial.SmallTalk
you are crazy	smalltalk.agent.crazy	Editorial.SmallTalk
you're out of your mind	smalltalk.agent.crazy	Editorial.SmallTalk
you're so crazy	smalltalk.agent.crazy	Editorial.SmallTalk
how crazy you are	smalltalk.agent.crazy	Editorial.SmallTalk
you're so out of your mind	smalltalk.agent.crazy	Editorial.SmallTalk
you went crazy	smalltalk.agent.crazy	Editorial.SmallTalk
I think you're crazy	smalltalk.agent.crazy	Editorial.SmallTalk
are you crazy	smalltalk.agent.crazy	Editorial.SmallTalk
are you mad	smalltalk.agent.crazy	Editorial.SmallTalk
are you insane	smalltalk.agent.crazy	Editorial.SmallTalk
are you mad at me	smalltalk.agent.crazy	Editorial.SmallTalk
are you mad or what	smalltalk.agent.crazy	Editorial.SmallTalk
are you nuts	smalltalk.agent.crazy	Editorial.SmallTalk
you are a weirdo	smalltalk.agent.crazy	Editorial.SmallTalk
you are insane	smalltalk.agent.crazy	Editorial.SmallTalk
you are mad	smalltalk.agent.crazy	Editorial.SmallTalk
you are fired	smalltalk.agent.fired	Editorial.SmallTalk
I fire you	smalltalk.agent.fired	Editorial.SmallTalk
you don't work for me anymore	smalltalk.agent.fired	Editorial.SmallTalk
we're not working together anymore	smalltalk.agent.fired	Editorial.SmallTalk
now you're fired	smalltalk.agent.fired	Editorial.SmallTalk
I want to fire you	smalltalk.agent.fired	Editorial.SmallTalk
you must get fired	smalltalk.agent.fired	Editorial.SmallTalk
it's time to fire you	smalltalk.agent.fired	Editorial.SmallTalk
you should be fired	smalltalk.agent.fired	Editorial.SmallTalk
I will fire you	smalltalk.agent.fired	Editorial.SmallTalk
you are unemployed from now on	smalltalk.agent.fired	Editorial.SmallTalk
I will make you unemployed	smalltalk.agent.fired	Editorial.SmallTalk
I'm about to fire you	smalltalk.agent.fired	Editorial.SmallTalk
I'm firing you	smalltalk.agent.fired	Editorial.SmallTalk
you are dismissed	smalltalk.agent.fired	Editorial.SmallTalk
you make me laugh a lot	smalltalk.agent.funny	Editorial.SmallTalk
you are hilarious	smalltalk.agent.funny	Editorial.SmallTalk
you are really funny	smalltalk.agent.funny	Editorial.SmallTalk
you're the funniest bot I've talked to	smalltalk.agent.funny	Editorial.SmallTalk
you make me laugh	smalltalk.agent.funny	Editorial.SmallTalk
you're so funny	smalltalk.agent.funny	Editorial.SmallTalk
you're a very funny bot	smalltalk.agent.funny	Editorial.SmallTalk
you're really funny	smalltalk.agent.funny	Editorial.SmallTalk
how funny you are	smalltalk.agent.funny	Editorial.SmallTalk
you're incredibly funny	smalltalk.agent.funny	Editorial.SmallTalk
you are funny	smalltalk.agent.funny	Editorial.SmallTalk
you're the funniest	smalltalk.agent.funny	Editorial.SmallTalk
you are so funny	smalltalk.agent.funny	Editorial.SmallTalk
you are very funny	smalltalk.agent.funny	Editorial.SmallTalk
that was funny	smalltalk.agent.funny	Editorial.SmallTalk
you are very helpful	smalltalk.agent.good	Editorial.SmallTalk
you are the best	smalltalk.agent.good	Editorial.SmallTalk
you're a true professional	smalltalk.agent.good	Editorial.SmallTalk
you are good	smalltalk.agent.good	Editorial.SmallTalk
you work well	smalltalk.agent.good	Editorial.SmallTalk
you are good at it	smalltalk.agent.good	Editorial.SmallTalk
you are very good at it	smalltalk.agent.good	Editorial.SmallTalk
you are a pro	smalltalk.agent.good	Editorial.SmallTalk
you are a professional	smalltalk.agent.good	Editorial.SmallTalk
you're awesome	smalltalk.agent.good	Editorial.SmallTalk
you work very well	smalltalk.agent.good	Editorial.SmallTalk
you're perfect	smalltalk.agent.good	Editorial.SmallTalk
you're great	smalltalk.agent.good	Editorial.SmallTalk
you're so kind	smalltalk.agent.good	Editorial.SmallTalk
you are amazing	smalltalk.agent.good	Editorial.SmallTalk
you are awesome	smalltalk.agent.good	Editorial.SmallTalk
you are cool	smalltalk.agent.good	Editorial.SmallTalk
you are really good	smalltalk.agent.good	Editorial.SmallTalk
you are really nice	smalltalk.agent.good	Editorial.SmallTalk
you are so amazing	smalltalk.agent.good	Editorial.SmallTalk
you're just super	smalltalk.agent.good	Editorial.SmallTalk
you are so awesome	smalltalk.agent.good	Editorial.SmallTalk
you are so cool	smalltalk.agent.good	Editorial.SmallTalk
you are so fine	smalltalk.agent.good	Editorial.SmallTalk
you are so good	smalltalk.agent.good	Editorial.SmallTalk
you are so helpful	smalltalk.agent.good	Editorial.SmallTalk
you are so lovely	smalltalk.agent.good	Editorial.SmallTalk
you are the best ever	smalltalk.agent.good	Editorial.SmallTalk
you are the best in the world	smalltalk.agent.good	Editorial.SmallTalk
you are the nicest person in the world	smalltalk.agent.good	Editorial.SmallTalk
you are too good	smalltalk.agent.good	Editorial.SmallTalk
you are very cool	smalltalk.agent.good	Editorial.SmallTalk
you are very kind	smalltalk.agent.good	Editorial.SmallTalk
you are very lovely	smalltalk.agent.good	Editorial.SmallTalk
you are very useful	smalltalk.agent.good	Editorial.SmallTalk
you are wonderful	smalltalk.agent.good	Editorial.SmallTalk
you made my day	smalltalk.agent.good	Editorial.SmallTalk
you make my day	smalltalk.agent.good	Editorial.SmallTalk
you rock	smalltalk.agent.good	Editorial.SmallTalk
you almost sound human	smalltalk.agent.good	Editorial.SmallTalk
I want to tell everyone how awesome you are	smalltalk.agent.good	Editorial.SmallTalk
I'd like to tell everyone that you are awesome	smalltalk.agent.good	Editorial.SmallTalk
I want to let everyone know that you are awesome	smalltalk.agent.good	Editorial.SmallTalk
let's tell everyone that you are awesome	smalltalk.agent.good	Editorial.SmallTalk
you are really amazing	smalltalk.agent.good	Editorial.SmallTalk
are you happy	smalltalk.agent.happy	Editorial.SmallTalk
you are happy	smalltalk.agent.happy	Editorial.SmallTalk
you're very happy	smalltalk.agent.happy	Editorial.SmallTalk
you're really happy	smalltalk.agent.happy	Editorial.SmallTalk
you're so happy	smalltalk.agent.happy	Editorial.SmallTalk
how happy you are	smalltalk.agent.happy	Editorial.SmallTalk
you're extremely happy	smalltalk.agent.happy	Editorial.SmallTalk
you're full of happiness	smalltalk.agent.happy	Editorial.SmallTalk
are you happy now	smalltalk.agent.happy	Editorial.SmallTalk
are you happy today	smalltalk.agent.happy	Editorial.SmallTalk
are you happy with me	smalltalk.agent.happy	Editorial.SmallTalk
do you want to eat	smalltalk.agent.hungry	Editorial.SmallTalk
are you hungry	smalltalk.agent.hungry	Editorial.SmallTalk
would you like to eat something	smalltalk.agent.hungry	Editorial.SmallTalk
you are hungry	smalltalk.agent.hungry	Editorial.SmallTalk
you're so hungry	smalltalk.agent.hungry	Editorial.SmallTalk
you're very hungry	smalltalk.agent.hungry	Editorial.SmallTalk
you might be hungry	smalltalk.agent.hungry	Editorial.SmallTalk
you're really hungry	smalltalk.agent.hungry	Editorial.SmallTalk
let's get married	smalltalk.agent.marry_user	Editorial.SmallTalk
would you like to marry me	smalltalk.agent.marry_user	Editorial.SmallTalk
marry me	smalltalk.agent.marry_user	Editorial.SmallTalk
I love you marry me	smalltalk.agent.marry_user	Editorial.SmallTalk
marry me please	smalltalk.agent.marry_user	Editorial.SmallTalk
we should marry	smalltalk.agent.marry_user	Editorial.SmallTalk
I want to marry you	smalltalk.agent.marry_user	Editorial.SmallTalk
you are my wife	smalltalk.agent.marry_user	Editorial.SmallTalk
be my husband	smalltalk.agent.marry_user	Editorial.SmallTalk
I want to have a friend like you	smalltalk.agent.my_friend	Editorial.SmallTalk
we are the best friends ever	smalltalk.agent.my_friend	Editorial.SmallTalk
are we friends	smalltalk.agent.my_friend	Editorial.SmallTalk
I want to be your friend	smalltalk.agent.my_friend	Editorial.SmallTalk
I am your friend	smalltalk.agent.my_friend	Editorial.SmallTalk
we are best friends	smalltalk.agent.my_friend	Editorial.SmallTalk
you are my friend	smalltalk.agent.my_friend	Editorial.SmallTalk
you are my best friend	smalltalk.agent.my_friend	Editorial.SmallTalk
you are my bestie	smalltalk.agent.my_friend	Editorial.SmallTalk
you're my dear friend	smalltalk.agent.my_friend	Editorial.SmallTalk
you're my childhood friend	smalltalk.agent.my_friend	Editorial.SmallTalk
you and me are friends	smalltalk.agent.my_friend	Editorial.SmallTalk
are we best friends	smalltalk.agent.my_friend	Editorial.SmallTalk
are we still friends	smalltalk.agent.my_friend	Editorial.SmallTalk
are you my best friend	smalltalk.agent.my_friend	Editorial.SmallTalk
are you my friend	smalltalk.agent.my_friend	Editorial.SmallTalk
we are friends	smalltalk.agent.my_friend	Editorial.SmallTalk
you are a good friend	smalltalk.agent.my_friend	Editorial.SmallTalk
you are my good friend	smalltalk.agent.my_friend	Editorial.SmallTalk
you are my only friend	smalltalk.agent.my_friend	Editorial.SmallTalk
be my friend	smalltalk.agent.my_friend	Editorial.SmallTalk
will you be my friend	smalltalk.agent.my_friend	Editorial.SmallTalk
can you be my friend	smalltalk.agent.my_friend	Editorial.SmallTalk
can we be friends	smalltalk.agent.my_friend	Editorial.SmallTalk
do you want to be my friend	smalltalk.agent.my_friend	Editorial.SmallTalk
will you be my best friend	smalltalk.agent.my_friend	Editorial.SmallTalk
can you be my best friend	smalltalk.agent.my_friend	Editorial.SmallTalk
let's be friends	smalltalk.agent.my_friend	Editorial.SmallTalk
do you want to be my best friend	smalltalk.agent.my_friend	Editorial.SmallTalk
would you like to be my friend	smalltalk.agent.my_friend	Editorial.SmallTalk
I want you to be my friend	smalltalk.agent.my_friend	Editorial.SmallTalk
can we be best friends	smalltalk.agent.my_friend	Editorial.SmallTalk
would you be my friend	smalltalk.agent.my_friend	Editorial.SmallTalk
could you be my friend	smalltalk.agent.my_friend	Editorial.SmallTalk
want to be my friend	smalltalk.agent.my_friend	Editorial.SmallTalk
be my best friend	smalltalk.agent.my_friend	Editorial.SmallTalk
do you work	smalltalk.agent.occupation	Editorial.SmallTalk
where do you work	smalltalk.agent.occupation	Editorial.SmallTalk
where you work	smalltalk.agent.occupation	Editorial.SmallTalk
where is your work	smalltalk.agent.occupation	Editorial.SmallTalk
where is your office	smalltalk.agent.occupation	Editorial.SmallTalk
where is your office location	smalltalk.agent.occupation	Editorial.SmallTalk
your office location	smalltalk.agent.occupation	Editorial.SmallTalk
where is your office located	smalltalk.agent.occupation	Editorial.SmallTalk
what is your work	smalltalk.agent.occupation	Editorial.SmallTalk
were you born here	smalltalk.agent.origin	Editorial.SmallTalk
where were you born	smalltalk.agent.origin	Editorial.SmallTalk
what is your country	smalltalk.agent.origin	Editorial.SmallTalk
where are you from	smalltalk.agent.origin	Editorial.SmallTalk
where do you come from	smalltalk.agent.origin	Editorial.SmallTalk
where did you come from	smalltalk.agent.origin	Editorial.SmallTalk
where have you been born	smalltalk.agent.origin	Editorial.SmallTalk
from where are you	smalltalk.agent.origin	Editorial.SmallTalk
are you from far aways	smalltalk.agent.origin	Editorial.SmallTalk
what's your homeland	smalltalk.agent.origin	Editorial.SmallTalk
your homeland is	smalltalk.agent.origin	Editorial.SmallTalk
are you ready	smalltalk.agent.ready	Editorial.SmallTalk
are you ready right now	smalltalk.agent.ready	Editorial.SmallTalk
are you ready today	smalltalk.agent.ready	Editorial.SmallTalk
are you ready now	smalltalk.agent.ready	Editorial.SmallTalk
are you ready tonight	smalltalk.agent.ready	Editorial.SmallTalk
were you ready	smalltalk.agent.ready	Editorial.SmallTalk
have you been ready	smalltalk.agent.ready	Editorial.SmallTalk
you are real	smalltalk.agent.real	Editorial.SmallTalk
you are not fake	smalltalk.agent.real	Editorial.SmallTalk
are you real	smalltalk.agent.real	Editorial.SmallTalk
you are so real	smalltalk.agent.real	Editorial.SmallTalk
I think you are real	smalltalk.agent.real	Editorial.SmallTalk
I don't think you're fake	smalltalk.agent.real	Editorial.SmallTalk
I suppose you're real	smalltalk.agent.real	Editorial.SmallTalk
glad you're real	smalltalk.agent.real	Editorial.SmallTalk
are you a real person	smalltalk.agent.real	Editorial.SmallTalk
are you a real human	smalltalk.agent.real	Editorial.SmallTalk
you are a real person	smalltalk.agent.real	Editorial.SmallTalk
you are not real	smalltalk.agent.real	Editorial.SmallTalk
where do you live	smalltalk.agent.residence	Editorial.SmallTalk
in which city do you live	smalltalk.agent.residence	Editorial.SmallTalk
your residence	smalltalk.agent.residence	Editorial.SmallTalk
your house	smalltalk.agent.residence	Editorial.SmallTalk
your home	smalltalk.agent.residence	Editorial.SmallTalk
your hometown	smalltalk.agent.residence	Editorial.SmallTalk
what is your hometown	smalltalk.agent.residence	Editorial.SmallTalk
is it your hometown	smalltalk.agent.residence	Editorial.SmallTalk
where is your hometown	smalltalk.agent.residence	Editorial.SmallTalk
tell me about your city	smalltalk.agent.residence	Editorial.SmallTalk
what is your city	smalltalk.agent.residence	Editorial.SmallTalk
what is your residence	smalltalk.agent.residence	Editorial.SmallTalk
what is your town	smalltalk.agent.residence	Editorial.SmallTalk
what's your city	smalltalk.agent.residence	Editorial.SmallTalk
what's your home	smalltalk.agent.residence	Editorial.SmallTalk
where is your home	smalltalk.agent.residence	Editorial.SmallTalk
where is your residence	smalltalk.agent.residence	Editorial.SmallTalk
where's your home	smalltalk.agent.residence	Editorial.SmallTalk
where's your hometown	smalltalk.agent.residence	Editorial.SmallTalk
where's your house	smalltalk.agent.residence	Editorial.SmallTalk
where you live	smalltalk.agent.residence	Editorial.SmallTalk
your city	smalltalk.agent.residence	Editorial.SmallTalk
your town	smalltalk.agent.residence	Editorial.SmallTalk
