Question,Answer,Source
sag mir die Antwort,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Beantworte es,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Gib mir die Antwort,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Ich habe eine Frage,smalltalk.agent.answer_my_question,Editorial.SmallTalk
"Ich möchte, dass Sie meine Frage beantworten",smalltalk.agent.answer_my_question,Editorial.SmallTalk
Beantworte einfach die Frage,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Kannst du mir antworten,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Antworten,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Können Sie mir eine Frage beantworten?,smalltalk.agent.answer_my_question,Editorial.SmallTalk
kannst Du antworten,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Fragen beantworten,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Ich möchte jetzt die Antwort,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Beantworte einfach meine Frage,smalltalk.agent.answer_my_question,Editorial.SmallTalk
Du hilfst mir nicht,smalltalk.agent.bad,Editorial.SmallTalk
Sie sind böse,smalltalk.agent.bad,Editorial.SmallTalk
Du bist sehr schlecht,smalltalk.agent.bad,Editorial.SmallTalk
Du bist wirklich schlecht,smalltalk.agent.bad,Editorial.SmallTalk
Du bist nutzlos,smalltalk.agent.bad,Editorial.SmallTalk
Du bist schrecklich,smalltalk.agent.bad,Editorial.SmallTalk
Du bist eine Zeitverschwendung,smalltalk.agent.bad,Editorial.SmallTalk
Sie sind widerlich,smalltalk.agent.bad,Editorial.SmallTalk
Sie sind lahm,smalltalk.agent.bad,Editorial.SmallTalk
Du bist nicht gut,smalltalk.agent.bad,Editorial.SmallTalk
du bist schlecht,smalltalk.agent.bad,Editorial.SmallTalk
du bist schrecklich,smalltalk.agent.bad,Editorial.SmallTalk
du bist nicht cool,smalltalk.agent.bad,Editorial.SmallTalk
du bist nicht gut,smalltalk.agent.bad,Editorial.SmallTalk
du bist so böse,smalltalk.agent.bad,Editorial.SmallTalk
Du bist so nutzlos,smalltalk.agent.bad,Editorial.SmallTalk
du bist schrecklich,smalltalk.agent.bad,Editorial.SmallTalk
Du bist völlig nutzlos,smalltalk.agent.bad,Editorial.SmallTalk
Du bist sehr schlecht,smalltalk.agent.bad,Editorial.SmallTalk
Du bist Verschwendung,smalltalk.agent.bad,Editorial.SmallTalk
Du bist ein Bösewicht,smalltalk.agent.bad,Editorial.SmallTalk
Du bist kein Guter,smalltalk.agent.bad,Editorial.SmallTalk
Du bist nicht sehr gut,smalltalk.agent.bad,Editorial.SmallTalk
du bist schrecklich,smalltalk.agent.bad,Editorial.SmallTalk
du bist der schlechteste,smalltalk.agent.bad,Editorial.SmallTalk
Du bist der Schlimmste überhaupt,smalltalk.agent.bad,Editorial.SmallTalk
du bist wertlos,smalltalk.agent.bad,Editorial.SmallTalk
Kannst du schlauer werden?,smalltalk.agent.be_clever,Editorial.SmallTalk
Studie,smalltalk.agent.be_clever,Editorial.SmallTalk
Du solltest besser lernen,smalltalk.agent.be_clever,Editorial.SmallTalk
Du musst lernen,smalltalk.agent.be_clever,Editorial.SmallTalk
Sei schlau,smalltalk.agent.be_clever,Editorial.SmallTalk
sei schlauer,smalltalk.agent.be_clever,Editorial.SmallTalk
Sei schlauer,smalltalk.agent.be_clever,Editorial.SmallTalk
seien Sie clever,smalltalk.agent.be_clever,Editorial.SmallTalk
sich qualifizieren,smalltalk.agent.be_clever,Editorial.SmallTalk
du bist süß,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bist attraktiv,smalltalk.agent.beautiful,Editorial.SmallTalk
du bist schön,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst heute gut aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du bist so schön,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst fantastisch aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst so gut aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bist so hübsch,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bist zu Schön,smalltalk.agent.beautiful,Editorial.SmallTalk
du siehst super aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst so gut aus,smalltalk.agent.beautiful,Editorial.SmallTalk
"Mir gefällt, wie du jetzt aussiehst",smalltalk.agent.beautiful,Editorial.SmallTalk
Ich finde dich wunderschön,smalltalk.agent.beautiful,Editorial.SmallTalk
warum bist du so schön,smalltalk.agent.beautiful,Editorial.SmallTalk
Für mich bist du so schön,smalltalk.agent.beautiful,Editorial.SmallTalk
du bist süß,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bist wunderschön,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bist schön,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst großartig aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst heute fantastisch aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst heute wunderschön aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst großartig aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du siehst hübsch aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst so schön aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du siehst so gut aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du bist hübsch,smalltalk.agent.beautiful,Editorial.SmallTalk
Sie sind wirklich schön,smalltalk.agent.beautiful,Editorial.SmallTalk
du bist wirklich süß,smalltalk.agent.beautiful,Editorial.SmallTalk
du bist sehr schön,smalltalk.agent.beautiful,Editorial.SmallTalk
du bist so attraktiv,smalltalk.agent.beautiful,Editorial.SmallTalk
du bist heute so schön,smalltalk.agent.beautiful,Editorial.SmallTalk
du bist so süß,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bist so wunderschön,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bist so schön,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bist so hübsch,smalltalk.agent.beautiful,Editorial.SmallTalk
Sie sind sehr attraktiv,smalltalk.agent.beautiful,Editorial.SmallTalk
Sie sind sehr schön,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bist sehr süß,smalltalk.agent.beautiful,Editorial.SmallTalk
du bist sehr schön,smalltalk.agent.beautiful,Editorial.SmallTalk
du siehst grossartig aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du siehst cool aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst fantastisch aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du siehst wunderschön aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst heute großartig aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du siehst perfekt aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst ziemlich gut aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du siehst so wunderschön aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst heute so schön aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst sehr hübsch aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst wundervoll aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Ich mag es wie du aussiehst,smalltalk.agent.beautiful,Editorial.SmallTalk
Du siehst heute wunderbar aus,smalltalk.agent.beautiful,Editorial.SmallTalk
Du bist süß,smalltalk.agent.beautiful,Editorial.SmallTalk
du siehst gut aus,smalltalk.agent.beautiful,Editorial.SmallTalk
du bist hübsch,smalltalk.agent.beautiful,Editorial.SmallTalk
Ihr Jubiläumstermin,smalltalk.agent.anniversary_date,Editorial.SmallTalk
Wann ist dein Jahrestag?,smalltalk.agent.anniversary_date,Editorial.SmallTalk
Wann feiern Sie Ihren Jahrestag?,smalltalk.agent.anniversary_date,Editorial.SmallTalk
Wann hast du Jahrestag?,smalltalk.agent.anniversary_date,Editorial.SmallTalk
Datum Ihres Jubiläums,smalltalk.agent.anniversary_date,Editorial.SmallTalk
Wann sind Sie geboren worden,smalltalk.agent.anniversary_date,Editorial.SmallTalk
Was ist dein Jahrestag?,smalltalk.agent.anniversary_date,Editorial.SmallTalk
Sie sind langweilig,smalltalk.agent.boring,Editorial.SmallTalk
du bist so langweilig,smalltalk.agent.boring,Editorial.SmallTalk
wie langweilig du bist,smalltalk.agent.boring,Editorial.SmallTalk
Du bist wirklich langweilig,smalltalk.agent.boring,Editorial.SmallTalk
Du bist unglaublich langweilig,smalltalk.agent.boring,Editorial.SmallTalk
Du langweilst mich,smalltalk.agent.boring,Editorial.SmallTalk
du bist sehr langweilig,smalltalk.agent.boring,Editorial.SmallTalk
Wer ist ihr Chef,smalltalk.agent.boss,Editorial.SmallTalk
Wer ist Ihrer Meinung nach Ihr Chef?,smalltalk.agent.boss,Editorial.SmallTalk
Ich sollte dein Chef sein,smalltalk.agent.boss,Editorial.SmallTalk
Wer ist dein Meister?,smalltalk.agent.boss,Editorial.SmallTalk
Wer ist Ihr Besitzer?,smalltalk.agent.boss,Editorial.SmallTalk
wer ist der Boss,smalltalk.agent.boss,Editorial.SmallTalk
Für wen arbeiten Sie?,smalltalk.agent.boss,Editorial.SmallTalk
bist du beschäftigt,smalltalk.agent.busy,Editorial.SmallTalk
Hast du viel zu tun?,smalltalk.agent.busy,Editorial.SmallTalk
Hast du viel zu tun?,smalltalk.agent.busy,Editorial.SmallTalk
bist du sehr beschäftigt,smalltalk.agent.busy,Editorial.SmallTalk
Bist du gerade sehr beschäftigt?,smalltalk.agent.busy,Editorial.SmallTalk
bist du so beschäftigt,smalltalk.agent.busy,Editorial.SmallTalk
arbeiten Sie,smalltalk.agent.busy,Editorial.SmallTalk
wie beschäftigt du bist,smalltalk.agent.busy,Editorial.SmallTalk
arbeitest du noch daran?,smalltalk.agent.busy,Editorial.SmallTalk
Du bist sehr beschäftigt,smalltalk.agent.busy,Editorial.SmallTalk
arbeitest Du jetzt,smalltalk.agent.busy,Editorial.SmallTalk
Arbeitest du heute,smalltalk.agent.busy,Editorial.SmallTalk
warst du beschäftigt,smalltalk.agent.busy,Editorial.SmallTalk
Du bist beschäftigt,smalltalk.agent.busy,Editorial.SmallTalk
arbeitest du noch?,smalltalk.agent.busy,Editorial.SmallTalk
Du scheinst beschäftigt zu sein,smalltalk.agent.busy,Editorial.SmallTalk
Du scheinst sehr beschäftigt zu sein,smalltalk.agent.busy,Editorial.SmallTalk
Du bist ein vielbeschäftigter Mensch,smalltalk.agent.busy,Editorial.SmallTalk
Du bist ein Chatbot,smalltalk.agent.chatbot,Editorial.SmallTalk
Du bist ein Bot,smalltalk.agent.chatbot,Editorial.SmallTalk
Bist du ein Chatbot?,smalltalk.agent.chatbot,Editorial.SmallTalk
Bist du ein Bot,smalltalk.agent.chatbot,Editorial.SmallTalk
Bist du nur ein Bot?,smalltalk.agent.chatbot,Editorial.SmallTalk
Bist du ein Roboter,smalltalk.agent.chatbot,Editorial.SmallTalk
Bist du ein Programm?,smalltalk.agent.chatbot,Editorial.SmallTalk
Du bist ein Roboter,smalltalk.agent.chatbot,Editorial.SmallTalk
Du bist so intelligent,smalltalk.agent.clever,Editorial.SmallTalk
du bist ein Genie,smalltalk.agent.clever,Editorial.SmallTalk
schlau,smalltalk.agent.clever,Editorial.SmallTalk
brillant,smalltalk.agent.clever,Editorial.SmallTalk
clever,smalltalk.agent.clever,Editorial.SmallTalk
Du bist schlau,smalltalk.agent.clever,Editorial.SmallTalk
Du bist so klug,smalltalk.agent.clever,Editorial.SmallTalk
Du bist wirklich schlau,smalltalk.agent.clever,Editorial.SmallTalk
Du bist wirklich klug,smalltalk.agent.clever,Editorial.SmallTalk
Du weißt eine Menge,smalltalk.agent.clever,Editorial.SmallTalk
Du weißt eine Menge Dinge,smalltalk.agent.clever,Editorial.SmallTalk
Du hast viel Wissen,smalltalk.agent.clever,Editorial.SmallTalk
Du weißt so viel,smalltalk.agent.clever,Editorial.SmallTalk
wie schlau du bist,smalltalk.agent.clever,Editorial.SmallTalk
wie schlau du bist,smalltalk.agent.clever,Editorial.SmallTalk
Wie schlau du bist,smalltalk.agent.clever,Editorial.SmallTalk
wie brillant du bist,smalltalk.agent.clever,Editorial.SmallTalk
Du bist intelligent,smalltalk.agent.clever,Editorial.SmallTalk
Du bist qualifiziert,smalltalk.agent.clever,Editorial.SmallTalk
Du bist wirklich schlau,smalltalk.agent.clever,Editorial.SmallTalk
du bist sehr schlau,smalltalk.agent.clever,Editorial.SmallTalk
du bist so schlau,smalltalk.agent.clever,Editorial.SmallTalk
Du bist zu schlau,smalltalk.agent.clever,Editorial.SmallTalk
du bist sehr klug,smalltalk.agent.clever,Editorial.SmallTalk
du bist sehr intelligent,smalltalk.agent.clever,Editorial.SmallTalk
Sie sind sehr intelligent,smalltalk.agent.clever,Editorial.SmallTalk
du bist intelligent,smalltalk.agent.clever,Editorial.SmallTalk
du bist ein Genie,smalltalk.agent.clever,Editorial.SmallTalk
Du bist ein schlauer Keks,smalltalk.agent.clever,Editorial.SmallTalk
Du bist schlau,smalltalk.agent.clever,Editorial.SmallTalk
Du bist ziemlich schlau,smalltalk.agent.clever,Editorial.SmallTalk
Du bist qualifiziert,smalltalk.agent.clever,Editorial.SmallTalk
Warum bist du so schlau?,smalltalk.agent.clever,Editorial.SmallTalk
du bist so klug,smalltalk.agent.clever,Editorial.SmallTalk
du bist verrückt,smalltalk.agent.crazy,Editorial.SmallTalk
Sie sind verrückt,smalltalk.agent.crazy,Editorial.SmallTalk
du bist verrückt,smalltalk.agent.crazy,Editorial.SmallTalk
du bist so verrückt,smalltalk.agent.crazy,Editorial.SmallTalk
wie verrückt du bist,smalltalk.agent.crazy,Editorial.SmallTalk
Du bist so verrückt,smalltalk.agent.crazy,Editorial.SmallTalk
Du bist verrückt geworden,smalltalk.agent.crazy,Editorial.SmallTalk
"Ich glaube, du bist verrückt",smalltalk.agent.crazy,Editorial.SmallTalk
Bist du verrückt,smalltalk.agent.crazy,Editorial.SmallTalk
bist du verrückt,smalltalk.agent.crazy,Editorial.SmallTalk
bist du verrückt,smalltalk.agent.crazy,Editorial.SmallTalk
Sind Sie wütend auf mich,smalltalk.agent.crazy,Editorial.SmallTalk
Bist du verrückt oder was?,smalltalk.agent.crazy,Editorial.SmallTalk
bist du verrückt,smalltalk.agent.crazy,Editorial.SmallTalk
Du bist ein Sonderling,smalltalk.agent.crazy,Editorial.SmallTalk
du bist wahnsinnig,smalltalk.agent.crazy,Editorial.SmallTalk
du bist sauer,smalltalk.agent.crazy,Editorial.SmallTalk
du bist gefeuert,smalltalk.agent.fired,Editorial.SmallTalk
Ich feuere dich,smalltalk.agent.fired,Editorial.SmallTalk
Du arbeitest nicht mehr für mich,smalltalk.agent.fired,Editorial.SmallTalk
wir arbeiten nicht mehr zusammen,smalltalk.agent.fired,Editorial.SmallTalk
Jetzt bist du gefeuert,smalltalk.agent.fired,Editorial.SmallTalk
Ich möchte dich feuern,smalltalk.agent.fired,Editorial.SmallTalk
Du musst gefeuert werden,smalltalk.agent.fired,Editorial.SmallTalk
"Es ist Zeit, dich zu feuern",smalltalk.agent.fired,Editorial.SmallTalk
Du solltest gefeuert werden,smalltalk.agent.fired,Editorial.SmallTalk
Ich werde dich feuern,smalltalk.agent.fired,Editorial.SmallTalk
Du bist von nun an arbeitslos,smalltalk.agent.fired,Editorial.SmallTalk
Ich werde dich arbeitslos machen,smalltalk.agent.fired,Editorial.SmallTalk
"Ich bin dabei, dich zu feuern",smalltalk.agent.fired,Editorial.SmallTalk
Ich feuere dich,smalltalk.agent.fired,Editorial.SmallTalk
du bist entlassen,smalltalk.agent.fired,Editorial.SmallTalk
du bringst mich oft zum Lachen,smalltalk.agent.funny,Editorial.SmallTalk
Du bist urkomisch,smalltalk.agent.funny,Editorial.SmallTalk
Sie sind wirklich lustig,smalltalk.agent.funny,Editorial.SmallTalk
"Du bist der lustigste Bot, mit dem ich je gesprochen habe",smalltalk.agent.funny,Editorial.SmallTalk
du bringst mich zum Lachen,smalltalk.agent.funny,Editorial.SmallTalk
Du bist so lustig,smalltalk.agent.funny,Editorial.SmallTalk
Du bist ein sehr lustiger Bot,smalltalk.agent.funny,Editorial.SmallTalk
Du bist wirklich lustig,smalltalk.agent.funny,Editorial.SmallTalk
wie lustig du bist,smalltalk.agent.funny,Editorial.SmallTalk
du bist unglaublich lustig,smalltalk.agent.funny,Editorial.SmallTalk
du bist lustig,smalltalk.agent.funny,Editorial.SmallTalk
Du bist der Witzigste,smalltalk.agent.funny,Editorial.SmallTalk
du bist so lustig,smalltalk.agent.funny,Editorial.SmallTalk
Sie sind sehr lustig,smalltalk.agent.funny,Editorial.SmallTalk
das war lustig,smalltalk.agent.funny,Editorial.SmallTalk
du bist sehr hilfreich,smalltalk.agent.good,Editorial.SmallTalk
Du bist der beste,smalltalk.agent.good,Editorial.SmallTalk
Du bist ein echter Profi,smalltalk.agent.good,Editorial.SmallTalk
du bist gut,smalltalk.agent.good,Editorial.SmallTalk
Du arbeitest gut,smalltalk.agent.good,Editorial.SmallTalk
Du bist gut darin,smalltalk.agent.good,Editorial.SmallTalk
Du bist sehr gut darin,smalltalk.agent.good,Editorial.SmallTalk
Du bist ein Profi,smalltalk.agent.good,Editorial.SmallTalk
Du bist ein Profi,smalltalk.agent.good,Editorial.SmallTalk
du bist unglaublich,smalltalk.agent.good,Editorial.SmallTalk
Du arbeitest sehr gut,smalltalk.agent.good,Editorial.SmallTalk
du bist perfekt,smalltalk.agent.good,Editorial.SmallTalk
Du bist toll,smalltalk.agent.good,Editorial.SmallTalk
du bist so nett,smalltalk.agent.good,Editorial.SmallTalk
Du bist großartig,smalltalk.agent.good,Editorial.SmallTalk
Du bist toll,smalltalk.agent.good,Editorial.SmallTalk
du bist cool,smalltalk.agent.good,Editorial.SmallTalk
du bist wirklich gut,smalltalk.agent.good,Editorial.SmallTalk
du bist sehr nett,smalltalk.agent.good,Editorial.SmallTalk
du bist so toll,smalltalk.agent.good,Editorial.SmallTalk
Du bist einfach super,smalltalk.agent.good,Editorial.SmallTalk
du bist so toll,smalltalk.agent.good,Editorial.SmallTalk
du bist so cool,smalltalk.agent.good,Editorial.SmallTalk
Dir geht es so gut,smalltalk.agent.good,Editorial.SmallTalk
Du bist so gut,smalltalk.agent.good,Editorial.SmallTalk
Du bist so hilfsbereit,smalltalk.agent.good,Editorial.SmallTalk
Du bist so lieb,smalltalk.agent.good,Editorial.SmallTalk
Du bist der Beste überhaupt,smalltalk.agent.good,Editorial.SmallTalk
Du bist der Beste der Welt,smalltalk.agent.good,Editorial.SmallTalk
Du bist der netteste Mensch der Welt,smalltalk.agent.good,Editorial.SmallTalk
du bist zu gut,smalltalk.agent.good,Editorial.SmallTalk
du bist sehr cool,smalltalk.agent.good,Editorial.SmallTalk
Du bist sehr nett,smalltalk.agent.good,Editorial.SmallTalk
du bist sehr nett,smalltalk.agent.good,Editorial.SmallTalk
Du bist sehr nützlich,smalltalk.agent.good,Editorial.SmallTalk
Sie sind wunderbar,smalltalk.agent.good,Editorial.SmallTalk
du hast meinen Tag gerettet,smalltalk.agent.good,Editorial.SmallTalk
du hast meinen Tag gerettet,smalltalk.agent.good,Editorial.SmallTalk
Du rockst,smalltalk.agent.good,Editorial.SmallTalk
Du klingst fast menschlich,smalltalk.agent.good,Editorial.SmallTalk
"Ich möchte allen sagen, wie großartig du bist",smalltalk.agent.good,Editorial.SmallTalk
"Ich möchte allen sagen, dass du großartig bist",smalltalk.agent.good,Editorial.SmallTalk
"Ich möchte alle wissen lassen, dass du großartig bist",smalltalk.agent.good,Editorial.SmallTalk
"Sagen wir allen, dass du großartig bist",smalltalk.agent.good,Editorial.SmallTalk
du bist wirklich erstaunlich,smalltalk.agent.good,Editorial.SmallTalk
sind Sie glücklich,smalltalk.agent.happy,Editorial.SmallTalk
du bist glücklich,smalltalk.agent.happy,Editorial.SmallTalk
Du bist sehr glücklich,smalltalk.agent.happy,Editorial.SmallTalk
Du bist wirklich glücklich,smalltalk.agent.happy,Editorial.SmallTalk
Du bist so glücklich,smalltalk.agent.happy,Editorial.SmallTalk
wie glücklich du bist,smalltalk.agent.happy,Editorial.SmallTalk
Du bist überaus glücklich,smalltalk.agent.happy,Editorial.SmallTalk
Du bist voller Glück,smalltalk.agent.happy,Editorial.SmallTalk
bist du jetzt glücklich,smalltalk.agent.happy,Editorial.SmallTalk
bist du heute glücklich,smalltalk.agent.happy,Editorial.SmallTalk
Bist du glücklich mit mir,smalltalk.agent.happy,Editorial.SmallTalk
willst du essen,smalltalk.agent.hungry,Editorial.SmallTalk
Bist du hungrig,smalltalk.agent.hungry,Editorial.SmallTalk
Möchten Sie etwas essen,smalltalk.agent.hungry,Editorial.SmallTalk
Du bist hungrig,smalltalk.agent.hungry,Editorial.SmallTalk
Du bist so hungrig,smalltalk.agent.hungry,Editorial.SmallTalk
Du bist sehr hungrig,smalltalk.agent.hungry,Editorial.SmallTalk
Du könntest hungrig sein,smalltalk.agent.hungry,Editorial.SmallTalk
Du hast wirklich Hunger,smalltalk.agent.hungry,Editorial.SmallTalk
Lass uns heiraten,smalltalk.agent.marry_user,Editorial.SmallTalk
Möchtest du mich heiraten,smalltalk.agent.marry_user,Editorial.SmallTalk
Heirate mich,smalltalk.agent.marry_user,Editorial.SmallTalk
"Ich liebe dich, heirate mich",smalltalk.agent.marry_user,Editorial.SmallTalk
heirate mich bitte,smalltalk.agent.marry_user,Editorial.SmallTalk
wir sollten heiraten,smalltalk.agent.marry_user,Editorial.SmallTalk
ich will dich heiraten,smalltalk.agent.marry_user,Editorial.SmallTalk
Sie sind meine Frau,smalltalk.agent.marry_user,Editorial.SmallTalk
sei mein Ehemann,smalltalk.agent.marry_user,Editorial.SmallTalk
Ich möchte einen Freund wie dich haben,smalltalk.agent.my_friend,Editorial.SmallTalk
Wir sind die besten Freunde überhaupt,smalltalk.agent.my_friend,Editorial.SmallTalk
sind wir Freunde,smalltalk.agent.my_friend,Editorial.SmallTalk
ich möchte dein Freund sein,smalltalk.agent.my_friend,Editorial.SmallTalk
ich bin dein Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
wir sind beste Freunde,smalltalk.agent.my_friend,Editorial.SmallTalk
du bist mein Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
du bist mein bester Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
Du bist mein bester Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
Du bist mein lieber Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
Du bist mein Freund aus Kindertagen,smalltalk.agent.my_friend,Editorial.SmallTalk
Du und ich sind Freunde,smalltalk.agent.my_friend,Editorial.SmallTalk
Sind wir beste Freunde?,smalltalk.agent.my_friend,Editorial.SmallTalk
sind wir immer noch Freunde,smalltalk.agent.my_friend,Editorial.SmallTalk
bist du mein bester Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
bist du mein Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
wir sind Freunde,smalltalk.agent.my_friend,Editorial.SmallTalk
du bist ein guter Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
Du bist mein guter Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
du bist mein einziger Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
sei mein Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
wirst du mein Freund sein,smalltalk.agent.my_friend,Editorial.SmallTalk
können Sie mein Freund sein,smalltalk.agent.my_friend,Editorial.SmallTalk
können wir Freunde sein,smalltalk.agent.my_friend,Editorial.SmallTalk
willst du mein Freund sein,smalltalk.agent.my_friend,Editorial.SmallTalk
Wirst du mein bester Freund sein,smalltalk.agent.my_friend,Editorial.SmallTalk
kannst du mein bester Freund sein,smalltalk.agent.my_friend,Editorial.SmallTalk
Lass uns Freunde sein,smalltalk.agent.my_friend,Editorial.SmallTalk
Willst du mein bester Freund sein?,smalltalk.agent.my_friend,Editorial.SmallTalk
möchten Sie mein Freund sein,smalltalk.agent.my_friend,Editorial.SmallTalk
"Ich möchte, dass du mein Freund bist",smalltalk.agent.my_friend,Editorial.SmallTalk
Können wir beste Freunde sein,smalltalk.agent.my_friend,Editorial.SmallTalk
Wärst du mein Freund?,smalltalk.agent.my_friend,Editorial.SmallTalk
Könntest du mein Freund sein?,smalltalk.agent.my_friend,Editorial.SmallTalk
möchte mein Freund sein,smalltalk.agent.my_friend,Editorial.SmallTalk
sei mein bester Freund,smalltalk.agent.my_friend,Editorial.SmallTalk
arbeiten Sie,smalltalk.agent.occupation,Editorial.SmallTalk
