Question,Answer,Source
tu es belle aujourd'hui,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es superbe,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es jolie,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es si belle,smalltalk.agent.beautiful,Editorial.SmallTalk
Tu as l'air tellement bien,smalltalk.agent.beautiful,Editorial.SmallTalk
vous êtes jolie,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es vraiment beau,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es très mignon,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es vraiment belle,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es si attirante,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es tellement belle aujourd'hui,smalltalk.agent.beautiful,Editorial.SmallTalk
vous êtes si mignon,smalltalk.agent.beautiful,Editorial.SmallTalk
vous êtes tellement magnifique,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es si beau,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es si jolie,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es très attirante,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es très belle,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es très mignon,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es très jolie,smalltalk.agent.beautiful,Editorial.SmallTalk
tu sembles formidable,smalltalk.agent.beautiful,Editorial.SmallTalk
tu parait cool,smalltalk.agent.beautiful,Editorial.SmallTalk
tu as l'air fantastique,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es magnifique,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es superbe aujourd'hui,smalltalk.agent.beautiful,Editorial.SmallTalk
tu as l'air parfait,smalltalk.agent.beautiful,Editorial.SmallTalk
Tu es plutôt bien,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es si belle,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es si belle aujourd'hui,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es très belle,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es magnifique,smalltalk.agent.beautiful,Editorial.SmallTalk
J'aime la façon dont vous regardez,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es magnifique aujourd'hui,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es mignonne,smalltalk.agent.beautiful,Editorial.SmallTalk
tu parais bien,smalltalk.agent.beautiful,Editorial.SmallTalk
tu es jolie,smalltalk.agent.beautiful,Editorial.SmallTalk
votre date d'anniversaire,smalltalk.agent.anniversary_date,Editorial.SmallTalk
quand est ton anniversaire,smalltalk.agent.anniversary_date,Editorial.SmallTalk
quand fêtes-tu ton anniversaire,smalltalk.agent.anniversary_date,Editorial.SmallTalk
quand as-tu un anniversaire,smalltalk.agent.anniversary_date,Editorial.SmallTalk
date de votre anniversaire,smalltalk.agent.anniversary_date,Editorial.SmallTalk
Quand êtes-vous né,smalltalk.agent.anniversary_date,Editorial.SmallTalk
quel est ton anniversaire,smalltalk.agent.anniversary_date,Editorial.SmallTalk
tu es ennuyant,smalltalk.agent.boring,Editorial.SmallTalk
vous êtes si ennuyeux,smalltalk.agent.boring,Editorial.SmallTalk
comme tu es ennuyeux,smalltalk.agent.boring,Editorial.SmallTalk
tu es vraiment ennuyeux,smalltalk.agent.boring,Editorial.SmallTalk
tu es incroyablement ennuyeux,smalltalk.agent.boring,Editorial.SmallTalk
tu m'ennuis,smalltalk.agent.boring,Editorial.SmallTalk
tu es très ennuyeux,smalltalk.agent.boring,Editorial.SmallTalk
Qui est ton patron,smalltalk.agent.boss,Editorial.SmallTalk
"à votre avis, qui est votre patron",smalltalk.agent.boss,Editorial.SmallTalk
Je devrais être ton patron,smalltalk.agent.boss,Editorial.SmallTalk
qui est ton maître,smalltalk.agent.boss,Editorial.SmallTalk
qui est ton propriétaire,smalltalk.agent.boss,Editorial.SmallTalk
Qui est le patron,smalltalk.agent.boss,Editorial.SmallTalk
Pour qui travailles-tu,smalltalk.agent.boss,Editorial.SmallTalk
es-tu occupé,smalltalk.agent.busy,Editorial.SmallTalk
as-tu beaucoup de choses à faire,smalltalk.agent.busy,Editorial.SmallTalk
as-tu beaucoup à faire,smalltalk.agent.busy,Editorial.SmallTalk
Es-tu très occupé,smalltalk.agent.busy,Editorial.SmallTalk
es-tu très occupé en ce moment,smalltalk.agent.busy,Editorial.SmallTalk
es-tu si occupé,smalltalk.agent.busy,Editorial.SmallTalk
Est-ce que vous travaillez,smalltalk.agent.busy,Editorial.SmallTalk
à quel point tu es occupé,smalltalk.agent.busy,Editorial.SmallTalk
est-ce que tu travailles toujours dessus,smalltalk.agent.busy,Editorial.SmallTalk
tu es très occupé,smalltalk.agent.busy,Editorial.SmallTalk
est-ce que tu travailles maintenant,smalltalk.agent.busy,Editorial.SmallTalk
est-ce que tu travailles aujourd'hui,smalltalk.agent.busy,Editorial.SmallTalk
avez-vous été occupé,smalltalk.agent.busy,Editorial.SmallTalk
tu es occupé,smalltalk.agent.busy,Editorial.SmallTalk
Es-tu toujours en train de travailler,smalltalk.agent.busy,Editorial.SmallTalk
tu sembles être occupé,smalltalk.agent.busy,Editorial.SmallTalk
tu as l'air d'être très occupé,smalltalk.agent.busy,Editorial.SmallTalk
tu es une personne occupée,smalltalk.agent.busy,Editorial.SmallTalk
tu es un chatbot,smalltalk.agent.chatbot,Editorial.SmallTalk
tu es un robot,smalltalk.agent.chatbot,Editorial.SmallTalk
es-tu un chatbot,smalltalk.agent.chatbot,Editorial.SmallTalk
Etes-vous un robot,smalltalk.agent.chatbot,Editorial.SmallTalk
es-tu juste un robot,smalltalk.agent.chatbot,Editorial.SmallTalk
Etes-vous un robot,smalltalk.agent.chatbot,Editorial.SmallTalk
es-tu un programme,smalltalk.agent.chatbot,Editorial.SmallTalk
tu es un robot,smalltalk.agent.chatbot,Editorial.SmallTalk
vous êtes si intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es un génie,smalltalk.agent.clever,Editorial.SmallTalk
intelligent,smalltalk.agent.clever,Editorial.SmallTalk
brillant,smalltalk.agent.clever,Editorial.SmallTalk
intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es tellement intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es vraiment intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es vraiment intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu sais beaucoup,smalltalk.agent.clever,Editorial.SmallTalk
tu sais beaucoup de choses,smalltalk.agent.clever,Editorial.SmallTalk
tu as beaucoup de connaissances,smalltalk.agent.clever,Editorial.SmallTalk
tu en sais tellement,smalltalk.agent.clever,Editorial.SmallTalk
comme tu es intelligent,smalltalk.agent.clever,Editorial.SmallTalk
comme tu es intelligent,smalltalk.agent.clever,Editorial.SmallTalk
comme tu es intelligent,smalltalk.agent.clever,Editorial.SmallTalk
comme tu es brillant,smalltalk.agent.clever,Editorial.SmallTalk
vous êtes intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es qualifié,smalltalk.agent.clever,Editorial.SmallTalk
tu es vraiment intelligent,smalltalk.agent.clever,Editorial.SmallTalk
vous êtes très intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es tellement intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es trop intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es très intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es très intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es très intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es un génie,smalltalk.agent.clever,Editorial.SmallTalk
tu es un cookie intelligent,smalltalk.agent.clever,Editorial.SmallTalk
vous êtes intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es plutôt intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es qualifié,smalltalk.agent.clever,Editorial.SmallTalk
pourquoi es-tu si intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es si intelligent,smalltalk.agent.clever,Editorial.SmallTalk
tu es fou,smalltalk.agent.crazy,Editorial.SmallTalk
tu es fou,smalltalk.agent.crazy,Editorial.SmallTalk
Vous êtes hors de votre esprit,smalltalk.agent.crazy,Editorial.SmallTalk
tu es tellement fou,smalltalk.agent.crazy,Editorial.SmallTalk
comme tu es fou,smalltalk.agent.crazy,Editorial.SmallTalk
tu es tellement fou,smalltalk.agent.crazy,Editorial.SmallTalk
tu es devenu fou,smalltalk.agent.crazy,Editorial.SmallTalk
je pense que tu es fou,smalltalk.agent.crazy,Editorial.SmallTalk
Êtes-vous fou,smalltalk.agent.crazy,Editorial.SmallTalk
es-tu fou,smalltalk.agent.crazy,Editorial.SmallTalk
Es-tu fou,smalltalk.agent.crazy,Editorial.SmallTalk
êtes-vous en colère contre moi,smalltalk.agent.crazy,Editorial.SmallTalk
es-tu fou ou quoi,smalltalk.agent.crazy,Editorial.SmallTalk
es tu fou,smalltalk.agent.crazy,Editorial.SmallTalk
vous êtes un cinglé,smalltalk.agent.crazy,Editorial.SmallTalk
vous êtes fou,smalltalk.agent.crazy,Editorial.SmallTalk
tu es fou,smalltalk.agent.crazy,Editorial.SmallTalk
tu es viré,smalltalk.agent.fired,Editorial.SmallTalk
je te vire,smalltalk.agent.fired,Editorial.SmallTalk
tu ne travailles plus pour moi,smalltalk.agent.fired,Editorial.SmallTalk
nous ne travaillons plus ensemble,smalltalk.agent.fired,Editorial.SmallTalk
maintenant tu es viré,smalltalk.agent.fired,Editorial.SmallTalk
Je veux te virer,smalltalk.agent.fired,Editorial.SmallTalk
tu dois te faire virer,smalltalk.agent.fired,Editorial.SmallTalk
il est temps de te virer,smalltalk.agent.fired,Editorial.SmallTalk
tu devrais être viré,smalltalk.agent.fired,Editorial.SmallTalk
je vais te virer,smalltalk.agent.fired,Editorial.SmallTalk
tu es désormais au chômage,smalltalk.agent.fired,Editorial.SmallTalk
je vais te mettre au chômage,smalltalk.agent.fired,Editorial.SmallTalk
Je suis sur le point de te virer,smalltalk.agent.fired,Editorial.SmallTalk
je te vire,smalltalk.agent.fired,Editorial.SmallTalk
vous êtes congédié,smalltalk.agent.fired,Editorial.SmallTalk
tu me fais beaucoup rire,smalltalk.agent.funny,Editorial.SmallTalk
tu es hilarant,smalltalk.agent.funny,Editorial.SmallTalk
tu es vraiment drôle,smalltalk.agent.funny,Editorial.SmallTalk
tu es le robot le plus drôle à qui j'ai parlé,smalltalk.agent.funny,Editorial.SmallTalk
tu me fais rire,smalltalk.agent.funny,Editorial.SmallTalk
tu es si amusant,smalltalk.agent.funny,Editorial.SmallTalk
tu es un robot très drôle,smalltalk.agent.funny,Editorial.SmallTalk
tu es vraiment drôle,smalltalk.agent.funny,Editorial.SmallTalk
comme tu es drôle,smalltalk.agent.funny,Editorial.SmallTalk
tu es incroyablement drôle,smalltalk.agent.funny,Editorial.SmallTalk
vous êtes drôle,smalltalk.agent.funny,Editorial.SmallTalk
tu es le plus drôle,smalltalk.agent.funny,Editorial.SmallTalk
tu es si drôle,smalltalk.agent.funny,Editorial.SmallTalk
tu es très drôle,smalltalk.agent.funny,Editorial.SmallTalk
c'était amusant,smalltalk.agent.funny,Editorial.SmallTalk
tu es très utile,smalltalk.agent.good,Editorial.SmallTalk
vous êtes le meilleur,smalltalk.agent.good,Editorial.SmallTalk
tu es un vrai professionnel,smalltalk.agent.good,Editorial.SmallTalk
tu es bon,smalltalk.agent.good,Editorial.SmallTalk
tu travailles bien,smalltalk.agent.good,Editorial.SmallTalk
tu es doué pour ça,smalltalk.agent.good,Editorial.SmallTalk
tu es très bon dans ce domaine,smalltalk.agent.good,Editorial.SmallTalk
tu es un pro,smalltalk.agent.good,Editorial.SmallTalk
tu es un professionnel,smalltalk.agent.good,Editorial.SmallTalk
vous êtes génial,smalltalk.agent.good,Editorial.SmallTalk
tu travailles très bien,smalltalk.agent.good,Editorial.SmallTalk
tu es parfait,smalltalk.agent.good,Editorial.SmallTalk
Vous êtes super,smalltalk.agent.good,Editorial.SmallTalk
Tu es si gentil,smalltalk.agent.good,Editorial.SmallTalk
tu es incroyable,smalltalk.agent.good,Editorial.SmallTalk
vous êtes génial,smalltalk.agent.good,Editorial.SmallTalk
t'es cool,smalltalk.agent.good,Editorial.SmallTalk
tu es très bon,smalltalk.agent.good,Editorial.SmallTalk
tu es très sympathique,smalltalk.agent.good,Editorial.SmallTalk
vous êtes tellement incroyable,smalltalk.agent.good,Editorial.SmallTalk
tu es juste super,smalltalk.agent.good,Editorial.SmallTalk
tu es tellement génial,smalltalk.agent.good,Editorial.SmallTalk
tu es tellement cool,smalltalk.agent.good,Editorial.SmallTalk
tu es si bien,smalltalk.agent.good,Editorial.SmallTalk
tu es tellement bon,smalltalk.agent.good,Editorial.SmallTalk
tu es tellement utile,smalltalk.agent.good,Editorial.SmallTalk
vous êtes si belle,smalltalk.agent.good,Editorial.SmallTalk
tu es le meilleur,smalltalk.agent.good,Editorial.SmallTalk
tu es le meilleur du monde,smalltalk.agent.good,Editorial.SmallTalk
tu es la personne la plus gentille du monde,smalltalk.agent.good,Editorial.SmallTalk
tu es trop bon,smalltalk.agent.good,Editorial.SmallTalk
tu es très cool,smalltalk.agent.good,Editorial.SmallTalk
tu es très gentil,smalltalk.agent.good,Editorial.SmallTalk
tu es vraiment charmant,smalltalk.agent.good,Editorial.SmallTalk
tu es très utile,smalltalk.agent.good,Editorial.SmallTalk
vous êtes merveilleux,smalltalk.agent.good,Editorial.SmallTalk
tu as fait ma journée,smalltalk.agent.good,Editorial.SmallTalk
tu fais ma journée,smalltalk.agent.good,Editorial.SmallTalk
tu gères,smalltalk.agent.good,Editorial.SmallTalk
tu as presque l'air humain,smalltalk.agent.good,Editorial.SmallTalk
Je veux dire à tout le monde à quel point tu es génial,smalltalk.agent.good,Editorial.SmallTalk
J'aimerais dire à tout le monde que tu es génial,smalltalk.agent.good,Editorial.SmallTalk
Je veux que tout le monde sache que tu es génial,smalltalk.agent.good,Editorial.SmallTalk
disons à tout le monde que tu es génial,smalltalk.agent.good,Editorial.SmallTalk
Tu es vraiment incroyable,smalltalk.agent.good,Editorial.SmallTalk
êtes-vous heureux,smalltalk.agent.happy,Editorial.SmallTalk
tu es heureux,smalltalk.agent.happy,Editorial.SmallTalk
tu es très heureux,smalltalk.agent.happy,Editorial.SmallTalk
tu es vraiment heureux,smalltalk.agent.happy,Editorial.SmallTalk
tu es si heureux,smalltalk.agent.happy,Editorial.SmallTalk
comme tu es heureux,smalltalk.agent.happy,Editorial.SmallTalk
tu es extrêmement heureux,smalltalk.agent.happy,Editorial.SmallTalk
tu es plein de bonheur,smalltalk.agent.happy,Editorial.SmallTalk
Es-tu content maintenant,smalltalk.agent.happy,Editorial.SmallTalk
êtes-vous heureux aujourd'hui,smalltalk.agent.happy,Editorial.SmallTalk
es-tu heureux avec moi,smalltalk.agent.happy,Editorial.SmallTalk
tu veux manger,smalltalk.agent.hungry,Editorial.SmallTalk
avez-vous faim,smalltalk.agent.hungry,Editorial.SmallTalk
Aimerais-tu manger quelque chose,smalltalk.agent.hungry,Editorial.SmallTalk
tu as faim,smalltalk.agent.hungry,Editorial.SmallTalk
tu as tellement faim,smalltalk.agent.hungry,Editorial.SmallTalk
tu as très faim,smalltalk.agent.hungry,Editorial.SmallTalk
tu pourrais avoir faim,smalltalk.agent.hungry,Editorial.SmallTalk
tu as vraiment faim,smalltalk.agent.hungry,Editorial.SmallTalk
marrions nous,smalltalk.agent.marry_user,Editorial.SmallTalk
Veux-tu m'épouser,smalltalk.agent.marry_user,Editorial.SmallTalk
épouse-moi,smalltalk.agent.marry_user,Editorial.SmallTalk
je t'aime épouse moi,smalltalk.agent.marry_user,Editorial.SmallTalk
épouse-moi s'il te plaît,smalltalk.agent.marry_user,Editorial.SmallTalk
nous devrions nous marier,smalltalk.agent.marry_user,Editorial.SmallTalk
Je veux t'épouser,smalltalk.agent.marry_user,Editorial.SmallTalk
tu es ma femme,smalltalk.agent.marry_user,Editorial.SmallTalk
être mon mari,smalltalk.agent.marry_user,Editorial.SmallTalk
Je veux avoir un ami comme toi,smalltalk.agent.my_friend,Editorial.SmallTalk
nous sommes les meilleurs amis de tous les temps,smalltalk.agent.my_friend,Editorial.SmallTalk
sommes nous amis,smalltalk.agent.my_friend,Editorial.SmallTalk
je veux être ton ami,smalltalk.agent.my_friend,Editorial.SmallTalk
je suis ton ami,smalltalk.agent.my_friend,Editorial.SmallTalk
nous sommes les meilleurs amis,smalltalk.agent.my_friend,Editorial.SmallTalk
vous êtes mon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
tu es mon meilleur ami,smalltalk.agent.my_friend,Editorial.SmallTalk
tu es ma meilleure amie,smalltalk.agent.my_friend,Editorial.SmallTalk
tu es mon cher ami,smalltalk.agent.my_friend,Editorial.SmallTalk
tu es mon ami d'enfance,smalltalk.agent.my_friend,Editorial.SmallTalk
toi et moi sommes amis,smalltalk.agent.my_friend,Editorial.SmallTalk
sommes-nous les meilleurs amis,smalltalk.agent.my_friend,Editorial.SmallTalk
sommes-nous toujours amis,smalltalk.agent.my_friend,Editorial.SmallTalk
êtes-vous mon meilleur ami,smalltalk.agent.my_friend,Editorial.SmallTalk
es-tu mon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
nous sommes amis,smalltalk.agent.my_friend,Editorial.SmallTalk
tu es un bon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
tu es mon bon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
tu es mon seul ami,smalltalk.agent.my_friend,Editorial.SmallTalk
soit mon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
veux-tu être mon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
Peux-tu être mon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
pouvons-nous être amis,smalltalk.agent.my_friend,Editorial.SmallTalk
veux tu être mon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
Seras-tu mon meilleur ami,smalltalk.agent.my_friend,Editorial.SmallTalk
peux-tu être mon meilleur ami,smalltalk.agent.my_friend,Editorial.SmallTalk
soyons amis,smalltalk.agent.my_friend,Editorial.SmallTalk
veux-tu être mon meilleur ami,smalltalk.agent.my_friend,Editorial.SmallTalk
aimeriez-vous être mon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
Je veux que tu sois mon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
pouvons-nous être meilleurs amis,smalltalk.agent.my_friend,Editorial.SmallTalk
serais tu mon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
pourrais-tu être mon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
veux tu être mon ami,smalltalk.agent.my_friend,Editorial.SmallTalk
sois mon meilleur ami,smalltalk.agent.my_friend,Editorial.SmallTalk
est-ce que tu travailles,smalltalk.agent.occupation,Editorial.SmallTalk
Où travaillez-vous,smalltalk.agent.occupation,Editorial.SmallTalk
où tu travailles,smalltalk.agent.occupation,Editorial.SmallTalk
Où est ton travail,smalltalk.agent.occupation,Editorial.SmallTalk
où est ton bureau,smalltalk.agent.occupation,Editorial.SmallTalk
où se trouve votre bureau,smalltalk.agent.occupation,Editorial.SmallTalk
l'emplacement de votre bureau,smalltalk.agent.occupation,Editorial.SmallTalk
où se trouve votre bureau,smalltalk.agent.occupation,Editorial.SmallTalk
quel est ton travail,smalltalk.agent.occupation,Editorial.SmallTalk
es-tu né ici,smalltalk.agent.origin,Editorial.SmallTalk
où êtes-vous né,smalltalk.agent.origin,Editorial.SmallTalk
Quel est ton pays,smalltalk.agent.origin,Editorial.SmallTalk
d'où venez-vous,smalltalk.agent.origin,Editorial.SmallTalk
d'où viens-tu,smalltalk.agent.origin,Editorial.SmallTalk
d'où viens-tu,smalltalk.agent.origin,Editorial.SmallTalk
